Airline,Price,Start_Day,Start_time,take_place,End_time,destination,flight_time,transit,total_time_hour,End_day,Is_Transit,Is_VietJet_Air,Is_Vietnam_Airlines,Is_Bamboo_Airways,Is_Vietravel_Airlines,Id_Plane
Vietnam Airlines,1585413,07-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,07-04-2025,0,0,0,0,0,0
VietJet Air,1398495,07-04-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,07-04-2025,0,0,0,0,0,2
Vietnam Airlines,1734264,08-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,08-04-2025,0,0,0,0,0,3
VietJet Air,1137150,08-04-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,08-04-2025,0,0,0,0,0,5
Vietnam Airlines,1585413,09-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,09-04-2025,0,0,0,0,0,6
VietJet Air,2442987,09-04-2025,08:40,DAD,16:30,DLI,7h 50m,"1 điểm dừng
Tự trung chuyển",7.83,09-04-2025,0,0,0,0,0,8
"Vietnam Airlines, VietJet Air",2480751,09-04-2025,06:00,DAD,10:50,DLI,4h 50m,"1 điểm dừng
Tự trung chuyển",4.83,09-04-2025,1,1,1,0,0,9
VietJet Air,2537692,09-04-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,09-04-2025,0,0,0,0,0,10
"VietJet Air, Vietnam Airlines",2543382,09-04-2025,16:00,DAD,22:10,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,09-04-2025,1,1,1,0,0,11
"Vietnam Airlines, VietJet Air",2990948,09-04-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,09-04-2025,1,1,1,0,0,12
Vietnam Airlines,1734264,10-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,10-04-2025,0,0,0,0,0,13
VietJet Air,1137150,10-04-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,10-04-2025,0,0,0,0,0,15
Vietnam Airlines,1685313,11-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,11-04-2025,0,0,0,0,0,16
VietJet Air,2404998,11-04-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,11-04-2025,0,0,0,0,0,18
"Vietnam Airlines, VietJet Air",3090861,11-04-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,11-04-2025,1,1,1,0,0,19
Vietnam Airlines,1404594,12-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,12-04-2025,0,0,0,0,0,20
VietJet Air,1283783,12-04-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,12-04-2025,0,0,0,0,0,22
Vietnam Airlines,1686312,13-04-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,13-04-2025,0,0,0,0,0,23
VietJet Air,1137150,13-04-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,13-04-2025,0,0,0,0,0,25
VietJet Air,2344125,07-04-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,07-04-2025,0,0,0,0,0,26
"VietJet Air, Vietravel Airlines",2622453,07-04-2025,07:40,DAD,18:25,PQC,10h 45m,"1 điểm dừng
Tự trung chuyển",10.75,07-04-2025,1,1,0,0,1,27
"VietJet Air, Vietravel Airlines",2622453,07-04-2025,07:20,DAD,18:25,PQC,11h 5m,"1 điểm dừng
Tự trung chuyển",11.08,07-04-2025,1,1,0,0,1,28
